,0,1,2,F
0,-0.06180213355945263,0.2712185345404752,0.0678734439477378,0.003
1,-0.31726004730895124,0.2123158656289265,0.078610892034532,-0.181
2,-0.3603749867839506,0.1947696128936245,0.07281180758801402,-0.214
3,0.26920704156891095,0.11703845096997102,0.0432629974542177,0.206
4,-0.1691825944576411,0.13418103814129664,0.06479753695387382,-0.092
5,0.03911691377237916,0.08179472073025616,0.035721434115391464,0.041
6,0.1517290131019197,0.07749356971635644,0.02135231629380654,0.117
7,-0.19806250668429656,0.09384139488540133,0.01724161366571559,-0.121
8,0.3313921619025496,0.07758456563237758,0.013117943057395392,0.241
9,0.08966215786396882,0.10423629446198679,0.012077241357511856,0.078
10,0.002631412053533751,0.1031328653123334,0.021464828929796353,0.019
11,-0.041320270650925986,0.099352973004196,0.02842510692464767,-0.012
12,-0.014479971782393691,0.14485791918309043,0.036427698416749574,0.014
13,0.03877604564810687,0.16679146790558005,0.03641858930615599,0.054
14,0.154267842742882,0.18809268882542227,0.038441007146989954,0.137
15,-0.2931897379158724,0.21888110936331895,0.04049479869666392,-0.166
16,-0.13840027187383833,0.1289070660042042,0.012709317676517971,-0.075
17,-0.10432803546268053,0.05569990975500414,-0.016649684648052533,-0.064
18,0.06322647249985681,0.0036641897382362954,-0.03276771162108432,0.042
19,1.0050287704265364,0.06686406169262636,0.016497786097429384,0.702
20,0.8419683911731082,0.06057405131057589,0.0009543265538979735,0.588
21,0.6422286718280382,0.08767703059238462,-0.03439833523410812,0.453
22,0.05902326101627435,0.1237821914554206,-0.07141121022771031,0.055
23,-0.29169002489138224,0.14854536392918327,-0.06551048374635392,-0.182
24,-0.335293346079261,0.10641384898349154,-0.04921875576951829,-0.217
25,-0.25542053337160303,0.05350251608932511,-0.05711843186199137,-0.171
26,0.08544878429271185,0.014856737079637672,-0.06825294098753257,0.057
27,0.3475019594641076,0.0055301564502929995,-0.06940188597566502,0.236
28,-0.17748804599983112,0.03482652698346237,-0.09056243536107485,-0.122
29,-0.12653752261321988,0.007654523492208203,-0.10110058097538409,-0.092
30,-0.15680024137746224,-0.022864090405419382,-0.09287227578023559,-0.117
31,-0.041494136790650615,-0.039208434106137224,-0.08631282051185327,-0.039
32,-0.044927353336001084,-0.05510839914148002,-0.08902514556527052,-0.044
33,0.04501971420664775,-0.06225558825988351,-0.08560339452967262,0.017
34,0.04136674913818213,-0.058591582647887504,-0.09260695413231838,0.014
35,-0.19389961689872634,-0.04237424982791386,-0.09196377333812326,-0.145
36,-0.028605881516290097,-0.05658057467413087,-0.09789629609124564,-0.034
37,-0.11368583271911849,-0.0640151223561601,-0.10481383523779406,-0.094
38,0.0021870901406115437,-0.07202832343763892,-0.10305066021743893,-0.015
39,-0.04887235350080807,-0.08697564502250078,-0.09851285229871946,-0.053
40,-0.04597948903071366,-0.08978744608067028,-0.09669146131967872,-0.051
41,-9.248579213226662e-05,-0.08466283765888719,-0.10093595957428628,-0.019
42,-0.15974794499344092,-0.0878750640972756,-0.0879214912697117,-0.128
43,0.07009676408216774,-0.09375222316683163,-0.053552876878254226,0.031
44,0.01666226319406071,-0.10511351891813915,0.0016662543152188322,-0.004
45,-0.06673680361699307,-0.09848501398748437,0.019451253822144025,-0.06
46,0.26817414674796297,-0.10761782258630877,0.01655740397030936,0.169
47,-0.1642326326774063,-0.07999749138055977,0.02554865306773308,-0.124
48,0.03639745114536761,-0.09175275222080476,0.025189933088961104,0.012
49,-0.09168044601020414,-0.09672593078503834,0.038007566928858816,-0.076
50,-0.20771514604215352,-0.08149996571222604,0.05281024417572245,-0.152
51,0.09711940751550291,-0.09516175045938559,0.0601618580793903,0.056
52,-0.14183193751606996,-0.08894394929094414,0.06487660646153066,-0.107
53,0.054432804289555325,-0.1086588798195999,0.06788822057582114,0.025
54,0.015158089108056836,-0.12955505736223372,0.07305032865459173,-0.005
55,-0.12307381460131599,-0.12067415563900362,0.08115299807896895,-0.098
56,-0.01689509758340647,-0.13729481107581937,0.07653511029027046,-0.028
57,-0.037460896746517355,-0.14606085057621843,0.08436498039838627,-0.043
58,0.05974445484835626,-0.14441329007818596,0.09527212735572464,0.025
59,0.051496749474803455,-0.13639067399537014,0.09033499965670773,0.02
60,0.005995028350514058,-0.13643480048818263,0.08862872402927753,-0.012
61,-0.1345909628729056,-0.1240714114428135,0.10244745924617138,-0.106
62,-0.1147364644740089,-0.11938053137831418,0.11103249787286232,-0.091
63,-0.06717004406504874,-0.11976900667121793,0.1044743468673826,-0.059
